"VDOT","E/km","E/mile","M/km","M/mile","T/400","T/800","T/1000","T/mile","I/400","I/1000","I/1200","I/mile","R/200","R/300","R/400","R/600","R/800"
30,"00:7:52.00","00:12:40.00","00:7:03.00","00:11:21.00","00:02:33.00","00:05:07.00","00:06:24.00","00:10:18.00","00:02:22.00","null","null","null","00:00:67.00","00:00:101.00","null",,"null"
31,"00:7:41.00","00:12:22.00","00:6:52.00","00:11:02.00","00:02:30.00","00:04:59.00","00:06:14.00","00:10:02.00","00:02:18.00","null","null","null","00:00:65.00","00:00:98.00","null",,"null"
32,"00:7:30.00","00:12:04.00","00:6:40.00","00:10:44.00","00:02:26.00","00:04:52.00","00:06:05.00","00:09:47.00","00:02:14.00","null","null","null","00:00:63.00","00:00:95.00","null",,"null"
33,"00:7:20.00","00:11:48.00","00:6:30.00","00:10:27.00","00:02:23.00","00:04:45.00","00:05:56.00","00:09:33.00","00:02:11.00","null","null","null","00:00:61.00","00:00:92.00","null",,"null"
34,"00:7:10.00","00:11:32.00","00:6:20.00","00:10:11.00","00:02:19.00","00:04:38.00","00:05:48.00","00:09:20.00","00:02:08.00","null","null","null","00:00:60.00","00:00:90.00","00:2:00.00",,"null"
35,"00:7:01.00","00:11:17.00","00:6:10.00","00:9:56.00","00:02:16.00","00:04:32.00","00:05:40.00","00:09:07.00","00:02:05.00","null","null","null","00:00:58.00","00:00:87.00","00:1:59.00",,"null"
36,"00:6:52.00","00:11:02.00","00:6:01.00","00:9:41.00","00:02:13.00","00:04:26.00","00:05:33.00","00:08:55.00","00:02:02.00","null","null","null","00:00:57.00","00:00:85.00","00:1:55.00",,"null"
37,"00:6:43.00","00:10:49.00","00:5:53.00","00:9:28.00","00:02:10.00","00:04:20.00","00:05:25.00","00:08:44.00","00:01:59.00","null","null","null","00:00:55.00","00:00:83.00","00:1:53.00",,"null"
38,"00:6:35.00","00:10:35.00","00:5:45.00","00:9:15.00","00:02:07.00","00:04:15.00","00:05:19.00","00:08:33.00","00:01:56.00","00:04:54.00","null","null","00:00:54.00","00:00:81.00","00:1:50.00",,"null"
39,"00:6:27.00","00:10:23.00","00:5:37.00","00:9:02.00","00:02:05.00","00:04:10.00","00:05:12.00","00:08:22.00","00:01:54.00","00:04:48.00","null","null","00:00:53.00","00:00:80.00","00:1:48.00",,"null"
40,"00:6:19.00","00:10:11.00","00:5:29.00","00:8:50.00","00:02:02.00","00:04:05.00","00:05:06.00","00:08:12.00","00:01:52.00","00:04:42.00","null","null","00:00:52.00","00:00:78.00","00:1:46.00",,"null"
41,"00:6:12.00","00:9:59.00","00:5:22.00","00:8:39.00","00:02:00.00","00:04:00.00","00:05:00.00","00:08:02.00","00:01:50.00","00:04:36.00","null","null","00:00:51.00","00:00:77.00","00:1:44.00",,"null"
42,"00:6:05.00","00:9:48.00","00:5:16.00","00:8:28.00","00:01:57.00","00:03:55.00","00:04:54.00","00:07:52.00","00:01:48.00","00:04:31.00","null","null","00:00:50.00","00:00:75.00","00:1:42.00",,"null"
43,"00:5:58.00","00:9:37.00","00:5:09.00","00:8:17.00","00:01:55.00","00:03:51.00","00:04:49.00","00:07:42.00","00:01:46.00","00:04:26.00","null","null","00:00:49.00","00:00:74.00","00:1:40.00",,"null"
44,"00:5:52.00","00:9:27.00","00:5:03.00","00:8:07.00","00:01:53.00","00:03:46.00","00:04:43.00","00:07:33.00","00:01:44.00","00:04:21.00","null","null","00:00:48.00","00:00:72.00","00:00:98.00",,"null"
45,"00:5:46.00","00:9:17.00","00:4:57.00","00:7:58.00","00:01:51.00","00:03:42.00","00:04:38.00","00:07:25.00","00:01:42.00","00:04:16.00","null","null","00:00:47.00","00:00:71.00","00:00:96.00",,"null"
46,"00:5:40.00","00:9:07.00","00:4:51.00","00:7:49.00","00:01:49.00","00:03:38.00","00:04:33.00","00:07:17.00","00:01:40.00","00:04:12.00","00:05:00.00","null","00:00:46.00","00:00:69.00","00:00:94.00",,"null"
47,"00:5:34.00","00:8:58.00","00:4:46.00","00:7:40.00","00:01:47.00","00:03:35.00","00:04:29.00","00:07:09.00","00:01:38.00","00:04:07.00","00:04:54.00","null","00:00:45.00","00:00:68.00","00:00:92.00",,"null"
48,"00:5:28.00","00:8:49.00","00:4:41.00","00:7:32.00","00:01:45.00","00:03:31.00","00:04:24.00","00:07:02.00","00:01:36.00","00:04:03.00","00:04:49.00","null","00:00:44.00","00:00:67.00","00:00:90.00",,"null"
49,"00:5:23.00","00:8:40.00","00:4:26.00","00:7:24.00","00:01:43.00","00:03:28.00","00:04:20.00","00:06:56.00","00:01:35.00","00:03:59.00","00:04:45.00","null","00:00:44.00","00:00:66.00","00:00:89.00",,"null"
50,"00:5:18.00","00:8:32.00","00:4:31.00","00:7:17.00","00:01:42.00","00:03:24.00","00:04:15.00","00:06:50.00","00:01:33.00","00:03:55.00","00:04:41.00","null","00:00:43.00","00:00:65.00","00:00:87.00",,"null"
51,"00:5:13.00","00:8:24.00","00:4:27.00","00:7:09.00","00:01:40.00","00:03:21.00","00:04:11.00","00:06:44.00","00:01:32.00","00:03:51.00","00:04:36.00","null","00:00:43.00","00:00:64.00","00:00:86.00",,"null"
52,"00:5:08.00","00:8:16.00","00:4:22.00","00:7:02.00","00:01:38.00","00:03:17.00","00:04:07.00","00:06:38.00","00:01:31.00","00:03:48.00","00:04:33.00","null","00:00:42.00","00:00:64.00","00:00:85.00",,"null"
53,"00:5:04.00","00:8:09.00","00:4:18.00","00:6:56.00","00:01:37.00","00:03:15.00","00:04:04.00","00:06:32.00","00:01:30.00","00:03:44.00","00:04:29.00","null","00:00:42.00","00:00:63.00","00:00:84.00",,"null"
54,"00:4:59.00","00:8:01.00","00:4:14.00","00:6:49.00","00:01:35.00","00:03:12.00","00:04:00.00","00:06:26.00","00:01:28.00","00:03:41.00","00:04:25.00","null","00:00:41.00","00:00:62.00","00:00:82.00",,"null"
55,"00:4:55.00","00:7:54.00","00:4:10.00","00:6:43.00","00:01:34.00","00:03:09.00","00:03:56.00","00:06:20.00","00:01:27.00","00:03:37.00","00:04:21.00","null","00:00:40.00","00:00:61.00","00:00:81.00",,"null"
56,"00:4:50.00","00:7:48.00","00:4:06.00","00:6:37.00","00:01:33.00","00:03:06.00","00:03:53.00","00:06:15.00","00:01:26.00","00:03:34.00","00:04:18.00","null","00:00:40.00","00:00:60.00","00:00:80.00","00:2:00.00","null"
57,"00:4:46.00","00:7:41.00","00:4:03.00","00:6:31.00","00:01:31.00","00:03:04.00","00:03:50.00","00:06:09.00","00:01:25.00","00:03:31.00","00:04:15.00","null","00:00:39.00","00:00:59.00","00:00:79.00","00:1:57.00","null"
58,"00:4:42.00","00:7:34.00","00:3:59.00","00:6:25.00","00:01:30.00","00:03:00.00","00:03:45.00","00:06:04.00","00:01:23.00","00:03:28.00","00:04:10.00","null","00:00:38.00","00:00:58.00","00:00:77.00","00:1:54.00","null"
59,"00:4:38.00","00:7:28.00","00:3:59.00","00:6:19.00","00:01:29.00","00:02:58.00","00:03:43.00","00:05:59.00","00:01:22.00","00:03:25.00","00:04:07.00","null","00:00:38.00","00:00:57.00","00:00:76.00","00:1:51.00","null"
60,"00:4:35.00","00:7:22.00","00:3:52.00","00:6:14.00","00:01:28.00","00:02:56.00","00:03:40.00","00:05:54.00","00:01:21.00","00:03:23.00","00:04:03.00","null","00:00:37.00","00:00:56.00","00:00:75.00","00:1:48.00","null"
61,"00:4:31.00","00:7:16.00","00:3:49.00","00:6:09.00","00:01:26.00","00:02:53.00","00:03:37.00","00:05:50.00","00:01:20.00","00:03:20.00","00:04:00.00","null","00:00:37.00","00:00:55.00","00:00:74.00","00:1:46.00","null"
62,"00:4:27.00","00:7:11.00","00:3:46.00","00:6:04.00","00:01:25.00","00:02:51.00","00:03:34.00","00:05:45.00","00:01:19.00","00:03:17.00","00:03:57.00","null","00:00:36.00","00:00:54.00","00:00:73.00","00:1:44.00","null"
63,"00:4:24.00","00:7:05.00","00:3:43.00","00:5:59.00","00:01:24.00","00:02:49.00","00:03:32.00","00:05:41.00","00:01:18.00","00:03:15.00","00:03:54.00","null","00:00:36.00","00:00:53.00","00:00:72.00","00:1:42.00","null"
64,"00:4:21.00","00:7:00.00","00:3:40.00","00:5:54.00","00:01:23.00","00:02:47.00","00:03:29.00","00:05:36.00","00:01:17.00","00:03:12.00","00:03:51.00","null","00:00:35.00","00:00:52.00","00:00:71.00","00:1:40.00","null"
65,"00:4:18.00","00:6:54.00","00:3:37.00","00:5:49.00","00:01:22.00","00:02:45.00","00:03:26.00","00:05:32.00","00:01:16.00","00:03:10.00","00:03:48.00","null","00:00:35.00","00:00:52.00","00:00:70.00","00:00:98.00","null"
66,"00:4:14.00","00:6:49.00","00:3:34.00","00:5:45.00","00:01:21.00","00:02:43.00","00:03:24.00","00:05:28.00","00:01:15.00","00:03:08.00","00:03:45.00","00:5:00.00","00:00:34.00","00:00:51.00","00:00:69.00","00:00:96.00","null"
67,"00:4:11.00","00:6:44.00","00:3:31.00","00:5:40.00","00:01:20.00","00:02:41.00","00:03:21.00","00:05:24.00","00:01:14.00","00:03:05.00","00:03:42.00","00:4:57.00","00:00:34.00","00:00:51.00","00:00:68.00","00:00:94.00","null"
68,"00:4:08.00","00:6:39.00","00:3:29.00","00:5:36.00","00:01:19.00","00:02:39.00","00:03:19.00","00:05:20.00","00:01:13.00","00:03:03.00","00:03:39.00","00:4:53.00","00:00:33.00","00:00:50.00","00:00:67.00","00:00:92.00","null"
69,"00:4:05.00","00:6:35.00","00:3:26.00","00:5:32.00","00:01:18.00","00:02:37.00","00:03:16.00","00:05:16.00","00:01:12.00","00:03:01.00","00:03:36.00","00:4:50.00","00:00:33.00","00:00:49.00","00:00:66.00","00:00:90.00","null"
70,"00:4:02.00","00:6:30.00","00:3:24.00","00:5:28.00","00:01:17.00","00:02:35.00","00:03:14.00","00:05:13.00","00:01:11.00","00:02:59.00","00:03:34.00","00:4:46.00","00:00:32.00","00:00:48.00","00:00:65.00","00:00:89.00","null"
71,"00:4:00.00","00:6:26.00","00:3:21.00","00:5:24.00","00:01:16.00","00:02:33.00","00:03:12.00","00:05:09.00","00:01:10.00","00:02:57.00","00:03:31.00","00:4:43.00","00:00:32.00","00:00:48.00","00:00:64.00","00:00:88.00","null"
72,"00:3:57.00","00:6:21.00","00:3:19.00","00:5:20.00","00:01:16.00","00:02:32.00","00:03:10.00","00:05:05.00","00:01:09.00","00:02:55.00","00:03:29.00","00:4:40.00","00:00:31.00","00:00:47.00","00:00:63.00","00:00:87.00","null"
73,"00:3:54.00","00:6:17.00","00:3:16.00","00:5:16.00","00:01:15.00","00:02:30.00","00:03:08.00","00:05:02.00","00:01:09.00","00:02:53.00","00:03:27.00","00:4:37.00","00:00:31.00","00:00:47.00","00:00:62.00","00:00:86.00","null"
74,"00:3:52.00","00:6:13.00","00:3:14.00","00:5:12.00","00:01:14.00","00:02:29.00","00:03:06.00","00:04:59.00","00:01:08.00","00:02:51.00","00:03:25.00","00:4:34.00","00:00:31.00","00:00:46.00","00:00:62.00","00:00:85.00","null"
75,"00:3:49.00","00:6:09.00","00:3:12.00","00:5:09.00","00:01:14.00","00:02:27.00","00:03:04.00","00:04:56.00","00:01:07.00","00:02:49.00","00:03:22.00","00:4:31.00","00:00:30.00","00:00:46.00","00:00:61.00","00:00:84.00","null"
76,"00:3:47.00","00:6:05.00","00:3:10.00","00:5:05.00","00:01:13.00","00:02:26.00","00:03:02.00","00:04:52.00","00:01:06.00","00:02:48.00","00:03:20.00","00:4:28.00","00:00:30.00","00:00:45.00","00:00:60.00","00:00:82.00","null"
77,"00:3:44.00","00:6:01.00","00:3:08.00","00:5:01.00","00:01:12.00","00:02:24.00","00:03:00.00","00:04:49.00","00:01:05.00","00:02:46.00","00:03:18.00","00:4:25.00","00:00:29.00","00:00:45.00","00:00:59.00","00:00:81.00","00:2:00.00"
78,"00:3:42.00","00:5:57.00","00:3:06.00","00:4:58.00","00:01:11.00","00:02:22.00","00:02:58.00","00:04:46.00","00:01:05.00","00:02:44.00","00:03:16.00","00:4:23.00","00:00:29.00","00:00:44.00","00:00:59.00","00:00:80.00","00:1:59.00"
79,"00:3:40.00","00:5:54.00","00:3:03.00","00:4:55.00","00:01:10.00","00:02:21.00","00:02:56.00","00:04:43.00","00:01:04.00","00:02:42.00","00:03:14.00","00:4:20.00","00:00:29.00","00:00:44.00","00:00:58.00","00:00:79.00","00:1:58.00"
80,"00:3:38.00","00:5:50.00","00:3:01.00","00:4:52.00","00:01:10.00","00:02:19.00","00:02:54.00","00:04:41.00","00:01:04.00","00:02:41.00","00:03:12.00","00:4:17.00","00:00:29.00","00:00:43.00","00:00:58.00","00:00:78.00","00:1:56.00"
81,"00:3:35.00","00:5:46.00","00:3:00.00","00:4:49.00","00:01:09.00","00:02:18.00","00:02:53.00","00:04:38.00","00:01:03.00","00:02:39.00","00:03:10.00","00:4:15.00","00:00:28.00","00:00:43.00","00:00:57.00","00:00:77.00","00:1:55.00"
82,"00:3:33.00","00:5:43.00","00:2:58.00","00:4:46.00","00:01:08.00","00:02:17.00","00:02:51.00","00:04:35.00","00:01:02.00","00:02:38.00","00:03:08.00","00:4:12.00","00:00:28.00","00:00:42.00","00:00:56.00","00:00:76.00","00:1:54.00"
83,"00:3:31.00","00:5:40.00","00:2:56.00","00:4:43.00","00:01:08.00","00:02:15.00","00:02:49.00","00:04:32.00","00:01:02.00","00:02:36.00","00:03:07.00","00:4:10.00","00:00:28.00","00:00:42.00","00:00:56.00","00:00:75.00","00:1:53.00"
84,"00:3:29.00","00:5:36.00","00:2:54.00","00:4:40.00","00:01:07.00","00:02:14.00","00:02:48.00","00:04:30.00","00:01:01.00","00:02:35.00","00:03:05.00","00:4:08.00","00:00:27.00","00:00:41.00","00:00:55.00","00:00:74.00","00:1:52.00"
85,"00:3:27.00","00:5:33.00","00:2:52.00","00:4:37.00","00:01:06.00","00:02:13.00","00:02:46.00","00:04:27.00","00:01:01.00","00:02:33.00","00:03:03.00","00:4:05.00","00:00:27.00","00:00:41.00","00:00:55.00","00:00:73.00","00:1:51.00"
